City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Ilinskiy,RU,55.619,38.1182,50.38,37,0,6.71,clear sky
158,Luderitz,NA,-26.6481,15.1594,65.84,70,27,22.93,scattered clouds
159,Chernyanka,RU,50.9409,37.8069,45.25,82,100,12.33,overcast clouds
160,Vanavara,RU,60.34,102.2797,35.73,91,100,12.15,overcast clouds
161,Tupaciguara,BR,-18.5922,-48.705,81.0,57,14,7.85,few clouds
162,Busembatia,UG,0.7697,33.6131,75.07,67,98,5.5,overcast clouds
163,Sinnamary,GF,5.3833,-52.95,80.24,83,42,13.78,scattered clouds
164,Lorca,ES,37.6712,-1.7017,64.08,46,75,13.22,broken clouds
165,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,40,11.5,scattered clouds
166,Marsa Matruh,EG,31.3525,27.2453,64.6,59,0,11.5,clear sky
167,Kotdwara,IN,29.75,78.5333,80.29,20,44,6.8,scattered clouds
168,Antofagasta,CL,-23.65,-70.4,61.88,67,43,7.78,scattered clouds
169,Cairns,AU,-16.9167,145.7667,75.15,88,100,10.36,moderate rain
170,Pundaguitan,PH,6.3711,126.1689,82.31,78,100,9.37,overcast clouds
171,Muros,ES,42.7762,-9.0603,72.68,71,1,9.22,clear sky
172,Upernavik,GL,72.7868,-56.1549,-6.79,95,96,10.02,overcast clouds
173,High Level,CA,58.5169,-117.136,10.51,61,0,0.0,clear sky
174,Faanui,PF,-16.4833,-151.75,82.31,70,34,17.49,scattered clouds
175,Samarai,PG,-10.6167,150.6667,82.45,77,100,11.56,overcast clouds
176,Camacha,PT,33.0833,-16.3333,62.02,68,40,12.66,scattered clouds
177,Verkhnyaya Inta,RU,65.9811,60.3094,30.96,75,100,23.24,overcast clouds
178,Formosa Do Rio Preto,BR,-11.0483,-45.1931,88.16,46,66,7.07,broken clouds
179,Masvingo,ZW,-20.0637,30.8277,67.21,84,97,3.53,light rain
180,Sola,VU,-13.8833,167.55,82.33,73,12,10.16,few clouds
181,Cabo San Lucas,MX,22.8909,-109.9124,76.6,59,90,0.58,overcast clouds
182,Eureka,US,40.8021,-124.1637,48.67,95,100,8.99,overcast clouds
183,Beloha,MG,-25.1667,45.05,78.46,72,60,7.56,broken clouds
184,Hofn,IS,64.2539,-15.2082,46.42,93,100,24.16,drizzle rain
185,Kuytun,RU,54.3419,101.5036,32.2,72,99,6.02,overcast clouds
186,Victoria,HK,22.2855,114.1577,80.33,73,0,8.01,clear sky
187,Mezen,RU,65.8522,44.24,26.78,86,72,7.09,broken clouds
188,Saldanha,ZA,-33.0117,17.9442,64.45,72,100,20.38,overcast clouds
189,Broome,US,42.2506,-75.833,73.42,57,87,12.8,overcast clouds
190,Lavrentiya,RU,65.5833,-171.0,31.69,99,100,6.46,light snow
191,Darnah,LY,32.767,22.6367,61.77,70,98,20.33,overcast clouds
192,Hovd,MN,48.0056,91.6419,27.86,26,98,6.58,overcast clouds
193,Lewiston,US,44.1003,-70.2148,46.36,97,100,6.91,mist
194,Kavaratti,IN,10.5669,72.642,82.02,74,99,4.92,overcast clouds
195,Nefteyugansk,RU,61.0998,72.6035,38.84,100,100,8.72,overcast clouds
196,Le Port,RE,-20.9373,55.2919,78.8,88,78,6.8,broken clouds
197,Gravdal,NO,68.1214,13.5031,38.86,61,23,5.59,few clouds
198,Inhuma,BR,-6.6683,-41.7078,85.68,61,37,2.44,scattered clouds
