City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Waingapu,ID,79.23,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
426,Vaitape,PF,82.27,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
427,Saint Pete Beach,US,85.24,few clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
431,Jalpan,MX,85.12,overcast clouds,21.2333,-99.4833,Hotel Mision Jalpan
433,Iralaya,HN,84.07,few clouds,15.0,-83.2333,Iglesia morava renovada
443,Canutama,BR,84.6,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
446,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
448,Lorengau,PG,81.88,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
450,Bireun,ID,79.84,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
451,Tonj,SS,92.98,overcast clouds,7.2737,28.6822,Lakan Hotel
462,Sassandra,CI,86.04,overcast clouds,4.95,-6.0833,la terrasse
464,Ajdabiya,LY,81.91,overcast clouds,30.7554,20.2263,Almadina Hotel
467,Havelock,US,80.56,scattered clouds,34.8791,-76.9013,Sherwood Motel
470,Alyangula,AU,82.33,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
475,Porto Nacional,BR,86.0,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
477,Kattivakkam,IN,86.09,broken clouds,13.2167,80.3167,Euronova Freezer
481,Maria Aurora,PH,75.42,light rain,15.7967,121.4737,Attic Travellers Inn
484,Dasoguz,TM,82.53,overcast clouds,41.8363,59.9666,Hotel Erik
485,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
486,Roma,US,77.14,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
488,Ellisras,ZA,76.05,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
490,Ler,SS,90.7,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
491,Fuerte Olimpo,PY,81.63,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
492,Pasaje,EC,82.11,overcast clouds,-3.3333,-79.8167,Finca Huaylala
493,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
495,Prado,BR,85.42,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
497,Langsa,ID,76.66,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
500,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
501,Atar,MR,94.6,clear sky,20.5169,-13.0499,Oumou Elghoura
502,Buala,SB,79.95,light rain,-8.145,159.5921,Maringe Lagoon Lodge
506,Kaduna,NG,93.02,broken clouds,10.5222,7.4383,HAMDALA HOTEL
507,Eruwa,NG,92.19,overcast clouds,7.5333,3.4167,Yinka Hostel
509,Nicoya,CR,91.63,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
513,Mhlume,SZ,75.22,overcast clouds,-26.0333,31.85,Mhlume Country Club
514,Maningrida,AU,77.47,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
