City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Antofagasta,CL,2022-04-08 11:14:51,-23.65,-70.4,63.68,81,20,0.94
110,Antsohihy,MG,2022-04-08 11:14:51,-14.8796,47.9875,91.2,54,18,5.7
111,Syedove,UA,2022-04-08 11:14:52,47.0768,38.156,52.21,90,100,19.44
112,Yantal,RU,2022-04-08 11:14:52,56.8471,105.2542,34.97,77,92,6.58
113,Moldova Noua,RO,2022-04-08 11:14:53,44.7375,21.6669,63.03,57,61,10.33
114,Tias,ES,2022-04-08 11:14:53,28.9611,-13.645,65.88,56,75,13.8
115,Fuerte Olimpo,PY,2022-04-08 11:14:53,-21.0415,-57.8738,77.56,63,77,1.43
116,Princeton,US,2022-04-08 11:10:59,25.5384,-80.4089,73.99,64,100,14.97
117,Deputatskiy,RU,2022-04-08 11:14:54,69.3,139.9,-4.22,100,100,2.21
118,Dmitrovsk-Orlovskiy,RU,2022-04-08 11:14:54,52.505,35.1464,57.45,59,100,18.72
119,Ahipara,NZ,2022-04-08 11:14:55,-35.1667,173.1667,58.78,80,39,6.87
120,Lensk,RU,2022-04-08 11:14:55,60.7253,114.9278,26.22,96,100,5.32
121,Coxim,BR,2022-04-08 11:14:56,-18.5067,-54.76,77.56,79,42,2.21
122,Savelugu,GH,2022-04-08 11:14:56,9.6244,-0.8253,95.65,38,18,7.94
123,Manzhouli,CN,2022-04-08 11:14:56,49.6,117.4333,47.32,23,12,18.03
124,Shaoguan,CN,2022-04-08 11:14:57,24.8,113.5833,73.96,43,0,1.57
125,Sechura,PE,2022-04-08 11:14:57,-5.5569,-80.8222,68.65,83,36,8.1
126,Russell,US,2022-04-08 11:12:58,32.3502,-85.1999,47.43,71,0,4.61
127,San Roque,ES,2022-04-08 11:14:58,36.2107,-5.3842,65.23,59,20,14.97
128,Talitsa,RU,2022-04-08 11:14:58,56.8804,60.0213,39.74,69,90,6.4
129,Torbay,CA,2022-04-08 11:14:59,47.6666,-52.7314,35.76,93,100,5.99
130,Atuona,PF,2022-04-08 11:14:59,-9.8,-139.0333,79.41,78,33,17.11
131,Flin Flon,CA,2022-04-08 11:14:59,54.7682,-101.865,19.24,93,0,0.0
132,Mahebourg,MU,2022-04-08 11:15:00,-20.4081,57.7,81.25,89,75,14.97
133,Hilo,US,2022-04-08 11:15:00,19.7297,-155.09,69.53,90,75,6.91
134,Kirakira,SB,2022-04-08 11:15:01,-10.4544,161.9205,80.8,85,100,8.25
135,Atar,MR,2022-04-08 11:15:01,20.5169,-13.0499,86.11,10,0,12.19
136,Bera,BD,2022-04-08 11:15:01,24.0833,89.6167,100.44,21,3,8.37
137,Male,MV,2022-04-08 11:15:02,4.1748,73.5089,84.9,61,27,6.85
138,Pyay,MM,2022-04-08 11:16:02,18.8167,95.2167,84.06,55,62,15.12
139,Yulara,AU,2022-04-08 11:16:03,-25.2406,130.9889,76.84,22,2,8.05
140,Hinton,CA,2022-04-08 11:15:48,53.4001,-117.5857,35.11,89,88,4.65
141,Skagen,DK,2022-04-08 11:16:04,57.7209,10.5839,37.65,55,100,19.15
142,Georgetown,MY,2022-04-08 11:14:11,5.4112,100.3354,87.73,66,20,1.14
143,Olafsvik,IS,2022-04-08 11:16:04,64.8945,-23.7142,32.45,67,98,5.99
144,Ojinaga,MX,2022-04-08 11:13:14,29.5667,-104.4167,52.75,24,0,5.75
145,Kindu,CD,2022-04-08 11:16:05,-2.95,25.95,83.3,56,97,5.73
146,Pochutla,MX,2022-04-08 11:16:05,15.7432,-96.4661,69.82,63,15,2.71
147,Shache,CN,2022-04-08 11:16:06,38.4167,77.2406,84.9,6,44,6.85
148,Ribeira Grande,PT,2022-04-08 11:16:06,38.5167,-28.7,63.0,82,40,20.71
149,Kars,TR,2022-04-08 11:16:07,40.602,43.095,48.65,81,75,13.8
150,Yumen,CN,2022-04-08 11:16:07,40.2833,97.2,72.79,7,0,18.41
151,Kanniyakumari,IN,2022-04-08 11:16:08,8.0833,77.5667,84.65,69,98,11.32
152,Castro,BR,2022-04-08 11:16:08,-24.7911,-50.0119,63.54,95,93,3.8
153,Tura,IN,2022-04-08 11:16:09,25.5198,90.2201,85.73,48,22,6.87
154,Tyulgan,RU,2022-04-08 11:16:09,52.3405,56.166,36.55,98,99,3.51
155,Rexburg,US,2022-04-08 11:16:10,43.826,-111.7897,32.83,69,0,3.44
156,Sarangani,PH,2022-04-08 11:16:10,5.4033,125.4636,82.38,81,88,22.48
157,Vostok,RU,2022-04-08 11:16:11,46.4856,135.8833,28.49,97,100,3.91
158,Upernavik,GL,2022-04-08 11:16:11,72.7868,-56.1549,7.48,94,100,5.57
159,Vila Franca Do Campo,PT,2022-04-08 11:16:12,37.7167,-25.4333,63.01,82,93,11.1
160,Carnarvon,AU,2022-04-08 11:16:12,-24.8667,113.6333,77.07,65,75,10.36
161,Katsuura,JP,2022-04-08 11:16:13,35.1333,140.3,55.63,64,0,13.33
162,Berat,AL,2022-04-08 11:16:13,40.7058,19.9522,66.2,55,4,4.21
163,Tiksi,RU,2022-04-08 11:16:14,71.6872,128.8694,-4.74,100,82,1.97
164,Chitipa,MW,2022-04-08 11:16:14,-9.7024,33.2697,77.13,66,41,6.04
165,Stromness,GB,2022-04-08 11:16:14,58.965,-3.296,42.87,81,91,24.0
166,General Roca,AR,2022-04-08 11:16:15,-39.0333,-67.5833,54.68,89,0,5.55
167,Elat,IL,2022-04-08 11:16:15,29.5581,34.9482,98.44,9,20,13.8
168,Tasiilaq,GL,2022-04-08 11:16:16,65.6145,-37.6368,21.36,93,100,9.86
169,Sao Joaquim,BR,2022-04-08 11:16:16,-28.2939,-49.9317,57.9,99,100,2.21
170,Ulaangom,MN,2022-04-08 11:16:16,49.9811,92.0667,42.3,61,76,4.47
171,Aquiraz,BR,2022-04-08 11:16:17,-3.9014,-38.3911,75.29,87,97,7.02
172,Touros,BR,2022-04-08 11:16:17,-5.1989,-35.4608,81.64,79,83,12.21
173,Tessalit,ML,2022-04-08 11:16:18,20.1986,1.0114,100.92,8,15,15.68
174,Shingu,JP,2022-04-08 11:16:18,33.7333,135.9833,56.08,77,0,6.35
175,Aden,YE,2022-04-08 11:16:18,12.7794,45.0367,82.47,70,100,12.5
176,Tautira,PF,2022-04-08 11:16:19,-17.7333,-149.15,81.43,75,18,17.02
177,Ponta Do Sol,PT,2022-04-08 11:16:19,32.6667,-17.1,69.71,66,49,2.57
178,Dourbali,TD,2022-04-08 11:16:19,11.8091,15.8632,108.57,10,25,6.02
179,Maridi,SS,2022-04-08 11:16:20,4.9158,29.4742,96.17,26,100,7.9
180,Kendari,ID,2022-04-08 11:16:20,-3.945,122.4989,77.5,87,100,5.14
181,Hithadhoo,MV,2022-04-08 11:17:21,-0.6,73.0833,83.91,61,82,8.55
182,Airai,TL,2022-04-08 11:17:21,-8.9266,125.4092,60.84,91,17,2.39
183,Paamiut,GL,2022-04-08 11:17:22,61.994,-49.6678,19.92,82,76,12.88
184,Dicabisagan,PH,2022-04-08 11:17:22,17.0818,122.4157,75.72,93,91,5.64
185,Morant Bay,JM,2022-04-08 11:17:23,17.8815,-76.4093,76.62,83,19,8.32
186,Sao Raimundo Nonato,BR,2022-04-08 11:17:23,-9.0153,-42.6994,77.9,47,96,5.86
187,La Rioja,ES,2022-04-08 11:17:01,42.25,-2.5,55.18,44,97,12.19
188,Qaanaaq,GL,2022-04-08 11:17:23,77.484,-69.3632,-7.19,66,10,7.49
189,Port Alfred,ZA,2022-04-08 11:17:24,-33.5906,26.891,62.19,83,98,3.0
190,North Platte,US,2022-04-08 11:17:24,41.1239,-100.7654,33.12,65,0,11.01
191,Bushehr,IR,2022-04-08 11:17:25,28.9684,50.8385,78.89,57,53,13.8
192,Kudahuvadhoo,MV,2022-04-08 11:17:25,2.6708,72.8944,83.8,72,91,8.41
193,Prachuap Khiri Khan,TH,2022-04-08 11:17:25,12.2167,99.75,83.55,37,17,4.03
194,Amahai,ID,2022-04-08 11:17:26,-3.3333,128.9167,80.17,80,71,2.21
195,Wronki,PL,2022-04-08 11:17:26,52.7105,16.3804,44.62,55,81,17.96
196,Marzuq,YE,2022-04-08 11:17:27,14.4,46.4667,87.22,12,96,8.59
197,Urumqi,CN,2022-04-08 11:17:27,43.801,87.6005,76.15,18,0,6.71
198,Namatanai,PG,2022-04-08 11:17:28,-3.6667,152.4333,77.27,92,100,7.45
199,Tuxpan,MX,2022-04-08 11:17:28,19.55,-103.4,59.58,45,40,2.33
200,Aykhal,RU,2022-04-08 11:17:29,66.0,111.5,14.94,90,100,7.65
201,Dikson,RU,2022-04-08 11:17:29,73.5069,80.5464,11.3,90,100,10.0
202,Fengcheng,CN,2022-04-08 11:17:30,40.4536,124.0717,48.94,87,16,8.84
203,Ouango,CF,2022-04-08 11:17:30,4.3133,22.5552,92.57,34,97,4.56
204,Axim,GH,2022-04-08 11:17:30,4.8699,-2.2405,86.52,66,80,9.91
205,Bengkulu,ID,2022-04-08 11:17:31,-3.8004,102.2655,80.4,75,36,4.59
206,Mehamn,NO,2022-04-08 11:17:31,71.0357,27.8492,33.71,69,0,11.5
207,Beisfjord,NO,2022-04-08 11:17:32,68.3751,17.5988,33.85,72,61,6.67
208,Seoul,KR,2022-04-08 11:17:32,37.5683,126.9778,58.39,38,0,1.14
209,Nacala,MZ,2022-04-08 11:17:33,-14.5428,40.6728,87.12,70,40,6.93
210,Port Blair,IN,2022-04-08 11:17:33,11.6667,92.75,84.24,74,40,4.61
211,Nanga Eboko,CM,2022-04-08 11:17:33,4.6833,12.3667,96.6,34,62,2.89
212,Madimba,TZ,2022-04-08 11:17:34,-10.4,40.3333,86.65,59,2,5.73
213,El Tigre,VE,2022-04-08 11:17:34,8.8875,-64.2454,72.91,83,78,14.58
214,Harer,ET,2022-04-08 11:17:35,9.3094,42.1258,82.33,20,85,4.81
215,Dickinson,US,2022-04-08 11:17:35,29.4608,-95.0513,55.94,61,75,9.22
216,Labuhan,ID,2022-04-08 11:17:35,-6.8844,112.2051,80.85,80,80,7.47
217,Chupa,RU,2022-04-08 11:17:36,66.27,33.0549,32.14,97,100,12.28
218,Pierre,US,2022-04-08 11:17:36,44.3683,-100.351,32.05,75,0,17.27
219,Lamu,KE,2022-04-08 11:17:37,-2.2717,40.902,89.82,59,13,11.41
220,Abu Dhabi,AE,2022-04-08 11:17:37,24.4667,54.3667,104.11,58,0,13.76
221,Alyangula,AU,2022-04-08 11:17:38,-13.8483,136.4192,81.63,62,98,8.79
222,Kavaratti,IN,2022-04-08 11:17:38,10.5669,72.642,83.88,71,63,4.29
223,Soyo,AO,2022-04-08 11:17:39,-6.1349,12.3689,83.75,73,91,7.72
224,Roald,NO,2022-04-08 11:17:39,62.5833,6.1333,38.32,86,100,11.5
225,Thunder Bay,CA,2022-04-08 11:13:17,48.4001,-89.3168,25.29,74,100,5.01
226,Road Town,VG,2022-04-08 11:15:30,18.4167,-64.6167,78.84,78,75,12.66
227,Magistralnyy,RU,2022-04-08 11:17:40,56.1725,107.4458,33.46,81,100,3.62
228,Linjiang,CN,2022-04-08 11:18:40,41.8069,126.9078,51.62,56,61,6.76
229,Arman,RU,2022-04-08 11:18:41,59.7,150.1667,17.29,94,84,4.36
230,Kieta,PG,2022-04-08 11:18:41,-6.2167,155.6333,79.32,85,98,3.65
231,Colmenar Viejo,ES,2022-04-08 11:18:41,40.6591,-3.7676,57.27,66,20,10.36
232,Pombas,CV,2022-04-08 11:18:42,17.1503,-25.0201,71.38,78,11,14.92
233,Necochea,AR,2022-04-08 11:18:42,-38.5473,-58.7368,59.16,85,100,12.21
234,Cherskiy,RU,2022-04-08 11:18:43,68.75,161.3,-19.71,97,8,5.32
235,Huilong,CN,2022-04-08 11:18:43,31.8111,121.655,58.1,71,0,14.25
236,Cayenne,GF,2022-04-08 11:18:45,4.9333,-52.3333,80.1,1,0,7.0
237,Puerto Leguizamo,CO,2022-04-08 11:18:45,-0.1934,-74.7819,71.8,99,99,1.61
238,Mount Gambier,AU,2022-04-08 11:15:57,-37.8333,140.7667,63.5,71,91,5.17
239,Ukiah,US,2022-04-08 11:18:46,39.1502,-123.2078,60.85,64,0,0.0
240,Pitea,SE,2022-04-08 11:18:46,65.3172,21.4794,28.49,97,100,19.06
241,Bathsheba,BB,2022-04-08 11:18:46,13.2167,-59.5167,81.21,69,20,16.11
242,Ussuriysk,RU,2022-04-08 11:18:47,43.7986,131.9508,44.42,80,72,24.65
243,San Quintin,MX,2022-04-08 11:18:47,30.4833,-115.95,66.83,45,38,1.16
244,College,US,2022-04-08 11:14:57,64.8569,-147.8028,21.22,67,75,17.27
245,Roebourne,AU,2022-04-08 11:18:48,-20.7833,117.1333,91.85,39,45,15.12
246,Bahraich,IN,2022-04-08 11:18:48,27.5833,81.6,104.77,6,0,12.12
247,Lihula,EE,2022-04-08 11:18:49,58.6814,23.8453,44.83,70,99,17.22
248,Goderich,CA,2022-04-08 11:15:45,43.7501,-81.7165,37.72,81,81,9.22
249,Kushima,JP,2022-04-08 11:18:49,31.4583,131.2333,58.71,64,0,1.41
250,Gao,ML,2022-04-08 11:18:50,16.6362,1.637,106.02,4,71,14.5
251,Bilibino,RU,2022-04-08 11:18:50,68.0546,166.4372,-21.44,96,22,7.56
252,Piracuruca,BR,2022-04-08 11:18:51,-3.9281,-41.7092,76.89,89,100,1.59
253,Flinders,AU,2022-04-08 11:18:51,-34.5833,150.8552,69.39,86,91,5.01
254,Biltine,TD,2022-04-08 11:18:51,14.5333,20.9167,105.55,5,3,9.35
255,Nikolskoye,RU,2022-04-08 11:18:52,59.7035,30.7861,50.88,87,100,13.87
256,East London,ZA,2022-04-08 11:18:52,-33.0153,27.9116,65.34,72,75,8.05
257,Thompson,CA,2022-04-08 11:18:53,55.7435,-97.8558,15.96,73,0,2.3
258,Luau,AO,2022-04-08 11:18:53,-10.7073,22.2247,74.39,75,91,2.82
259,Dindori,IN,2022-04-08 11:18:53,22.95,81.0833,100.98,6,0,9.82
